person_id,car_id,budd_quote,hudd_quote,wool_quote,real_quote
1,1,3845,4120,3356,3555
1,2,6191,5408,4989,5285
1,3,nan,8134,6841,7246
1,4,nan,6005,5327,5643
1,5,3778,3822,4359,4617
1,6,5859,3536,3402,3603
1,7,3770,2847,2661,2818
1,8,4527,3703,2985,3162
1,9,4106,2897,2704,2864
1,10,nan,nan,nan,nan
2,1,3740,5446,4171,4415
2,2,6022,7250,6201,6564
2,3,nan,10968,8502,9000
2,4,nan,8084,6621,7008
2,5,3673,5047,5418,5735
2,6,5634,4536,4228,4476
2,7,3675,3610,3307,3500
2,8,4409,4810,3711,3928
2,9,4002,3689,3360,3557
2,10,nan,nan,nan,nan
3,1,2258,3432,2851,2998
3,2,3667,4555,4238,4457
3,3,nan,6871,5811,6111
3,4,nan,5081,4526,4759
3,5,2157,3187,3703,3895
3,6,3139,2888,2890,3039
3,7,2054,2313,2260,2377
3,8,2432,3047,2536,2667
3,9,2268,2361,2297,2415
3,10,nan,nan,nan,nan
4,1,2203,4322,3377,3553
4,2,3567,5725,5020,5283
4,3,nan,8641,6884,7243
4,4,nan,6378,5361,5641
4,5,2103,4008,4387,4616
4,6,3055,3640,3423,3602
4,7,2007,2912,2677,2817
4,8,2400,3841,3004,3161
4,9,2216,2971,2721,2863
4,10,nan,nan,nan,nan
5,1,1667,3100,2597,2752
5,2,2655,4158,3861,4092
5,3,nan,6293,5294,5610
5,4,nan,4658,4122,4369
5,5,1563,2879,3373,3575
5,6,2129,2555,2633,2790
5,7,1442,2034,2059,2182
5,8,1729,2718,2310,2448
5,9,1614,2083,2092,2217
5,10,nan,nan,nan,nan
6,1,1629,3577,2953,3128
6,2,2588,4791,4391,4651
6,3,nan,7253,6021,6377
6,4,nan,5362,4688,4966
6,5,1505,3320,3837,4064
6,6,2080,2953,2994,3171
6,7,1411,2349,2342,2480
6,8,1689,3140,2627,2783
6,9,1579,2404,2379,2520
6,10,nan,nan,nan,nan
7,1,1445,2813,2445,2570
7,2,2289,3816,3635,3821
7,3,nan,5795,4984,5239
7,4,nan,4294,3881,4080
7,5,1344,2614,3176,3339
7,6,1804,2267,2478,2606
7,7,1236,1792,1938,2038
7,8,1476,2433,2175,2286
7,9,1387,1842,1970,2071
7,10,nan,nan,nan,nan
8,1,1413,3000,2691,2830
8,2,2237,4065,4001,4207
8,3,nan,6172,5486,5769
8,4,nan,4571,4272,4492
8,5,1313,2787,3496,3676
8,6,1764,2423,2728,2869
8,7,1211,1916,2133,2244
8,8,1444,2598,2394,2518
8,9,1358,1968,2168,2280
8,10,nan,nan,nan,nan
9,1,1214,2340,2206,2319
9,2,1898,3164,3280,3447
9,3,nan,4792,4497,4727
9,4,nan,3559,3502,3681
9,5,1114,2177,2866,3012
9,6,1427,1905,2236,2350
9,7,995,1515,1749,1838
9,8,1189,2035,1962,2063
9,9,1128,1555,1777,1868
9,10,nan,nan,nan,nan
10,1,1188,2490,2460,2587
10,2,1882,3360,3658,3846
10,3,nan,5089,5015,5274
10,4,nan,3777,3905,4107
10,5,1089,2315,3196,3361
10,6,1395,2032,2494,2623
10,7,973,1616,1950,2051
10,8,1164,2169,2189,2301
10,9,1105,1658,1982,2084
10,10,nan,nan,nan,nan
11,1,1185,2134,2055,2160
11,2,nan,nan,nan,nan
11,3,nan,4359,4190,4403
11,4,1815,3242,3263,3429
11,5,1084,1987,2670,2806
11,6,1362,1744,2083,2190
11,7,943,1390,1629,1712
11,8,1127,1860,1828,1922
11,9,1083,1426,1656,1740
11,10,nan,nan,nan,nan
12,1,1160,2240,2270,2387
12,2,1845,3017,3375,3548
12,3,nan,4563,4627,4865
12,4,1774,3391,3603,3789
12,5,1060,2084,2949,3100
12,6,1332,1836,2301,2419
12,7,920,1464,1800,1892
12,8,1117,1955,2019,2123
12,9,1061,1501,1829,1923
12,10,nan,nan,nan,nan
13,1,1133,1925,1865,1977
13,2,1802,2598,2773,2939
13,3,nan,3926,3802,4030
13,4,1714,2923,2960,3139
13,5,1035,1793,2422,2568
13,6,1281,1571,1890,2004
13,7,879,1254,1478,1567
13,8,1066,1675,1659,1759
13,9,1011,1286,1502,1593
13,10,nan,nan,nan,nan
14,1,1109,2022,1969,2087
14,2,1762,2723,2927,3103
14,3,nan,4113,4014,4254
14,4,1697,3060,3125,3313
14,5,1012,1883,2558,2711
14,6,1253,1657,1996,2115
14,7,858,1323,1561,1654
14,8,1057,1764,1751,1856
14,9,1005,1357,1586,1681
14,10,nan,nan,nan,nan
15,1,1009,1562,1520,1597
15,2,1592,2101,2259,2374
15,3,1523,3162,3098,3255
15,4,1530,2362,2412,2535
15,5,908,1458,1974,2074
15,6,1113,1277,1541,1619
15,7,762,1024,1205,1266
15,8,940,1360,1352,1421
15,9,896,1050,1224,1287
15,10,1462,nan,3326,3495
16,1,989,1635,1552,1631
16,2,1558,2193,2307,2425
16,3,1496,3299,3163,3325
16,4,1497,2463,2463,2589
16,5,884,1525,2016,2119
16,6,1104,1345,1573,1653
16,7,743,1079,1230,1293
16,8,928,1429,1380,1451
16,9,875,1106,1250,1314
16,10,1434,nan,3396,3569
17,1,919,1337,1398,1483
17,2,1462,1794,2079,2205
17,3,1403,2689,2850,3023
17,4,1407,2014,2220,2354
17,5,809,1250,1816,1927
17,6,1021,1093,1417,1503
17,7,678,879,1108,1176
17,8,850,1164,1244,1319
17,9,801,902,1126,1195
17,10,1346,nan,3060,3246
18,1,897,1349,1438,1525
18,2,1413,1802,2138,2267
18,3,1360,2698,2931,3109
18,4,1377,2021,2283,2421
18,5,799,1260,1868,1981
18,6,999,1111,1458,1546
18,7,662,896,1140,1209
18,8,828,1180,1279,1356
18,9,783,918,1158,1229
18,10,1321,nan,3147,3338
19,1,860,1226,1264,1342
19,2,1375,1628,1880,1995
19,3,1316,2426,2578,2736
19,4,1322,1820,2007,2130
19,5,761,1147,1643,1743
19,6,969,1016,1282,1360
19,7,642,824,1002,1064
19,8,801,1076,1125,1194
19,9,754,842,1019,1081
19,10,1259,nan,2768,2937
20,1,828,1195,1270,1348
20,2,1347,1577,1888,2004
20,3,1294,2345,2589,2747
20,4,1294,1760,2016,2139
20,5,752,1117,1650,1751
20,6,945,1000,1287,1366
20,7,627,815,1007,1068
20,8,781,1055,1130,1199
20,9,736,831,1023,1086
20,10,1236,nan,2779,2949
21,1,795,1141,1172,1244
21,2,1279,1498,1742,1850
21,3,1221,2220,2389,2536
21,4,1229,1668,1860,1975
21,5,717,1068,1522,1616
21,6,889,959,1188,1261
21,7,600,786,929,986
21,8,745,1012,1042,1107
21,9,700,800,944,1002
21,10,1164,nan,2564,2723
22,1,775,1096,1120,1189
22,2,1237,1428,1665,1768
22,3,1200,2108,2283,2424
22,4,1203,1585,1778,1888
22,5,698,1026,1455,1545
22,6,879,933,1135,1206
22,7,586,768,888,943
22,8,727,979,996,1058
22,9,684,781,902,958
22,10,1143,nan,2451,2603
23,1,845,1121,1166,1223
23,2,1338,1459,1734,1819
23,3,1253,2153,2377,2494
23,4,1282,1618,1851,1942
23,5,777,1048,1515,1589
23,6,1002,950,1182,1240
23,7,666,782,924,970
23,8,822,999,1037,1088
23,9,765,795,939,986
23,10,1190,nan,2552,2678
24,1,824,1046,1071,1123
24,2,1310,1350,1592,1670
24,3,1230,1983,2183,2290
24,4,1237,1493,1700,1783
24,5,757,979,1391,1459
24,6,980,902,1086,1139
24,7,650,747,849,890
24,8,802,942,953,999
24,9,737,758,863,905
24,10,1167,nan,2344,2458
25,1,936,1141,1207,1282
25,2,1455,1461,1795,1905
25,3,1349,2144,2461,2613
25,4,1390,1610,1916,2034
25,5,868,1067,1568,1665
25,6,1121,995,1224,1299
25,7,760,825,957,1016
25,8,934,1035,1074,1140
25,9,865,836,972,1032
25,10,1278,nan,2642,2805
26,1,912,1066,1092,1160
26,2,1424,1351,1624,1725
26,3,1323,1972,2227,2365
26,4,1359,1484,1734,1842
26,5,846,998,1419,1507
26,6,1097,946,1107,1176
26,7,742,789,866,920
26,8,911,977,972,1032
26,9,844,798,880,935
26,10,1236,nan,2391,2540
27,1,1143,1368,1389,1459
27,2,1783,1733,2066,2170
27,3,1616,2540,2833,2975
27,4,1709,1900,2206,2317
27,5,1083,1277,1805,1896
27,6,1391,1219,1409,1479
27,7,968,1011,1102,1157
27,8,1157,1258,1236,1298
27,9,1076,1022,1119,1176
27,10,1541,nan,3041,3194
